date,datetime,source,headline,summary,url,relevance_score
2026-02-27,2026-02-27 14:05:30,BusinessLine,Sensex plunges 961 points; Nifty slips below 200-day EMA as broad selloff grips markets,"Of the 4,369 stocks traded on the BSE, 2,633 declined against 1,574 advances, while 340 stocks hit fresh 52-week lows compared to just 100 reaching new highs",https://www.thehindubusinessline.com/markets/stock-markets/sensex-plunges-961-points-nifty-slips-below-200-day-ema-as-broad-selloff-grips-markets/article70684501.ece,6
2026-02-27,2026-02-27 14:00:00,Europa.eu,Decisions taken by the Governing Council of the ECB (in addition to decisions setting interest rates),The European Central Bank (ECB) is the central bank of the European Union countries which have adopted the euro. Our main task is to maintain price stability in the euro area and so preserve the purchasing power of the single currency.,https://www.ecb.europa.eu/press/govcdec/otherdec/2026/html/ecb.gc260227~a3ad2bb150.en.html,1
2026-02-27,2026-02-27 14:00:00,Plos.org,Food-based multisensory stimulation ameliorates cognitive impairment after mild traumatic brain injury in male rats by modulating intestinal and brain inflammation,"Mild traumatic brain injury (mTBI) often leads to cognitive impairment (CI), with neuroinflammation and gut microbiota dysbiosis playing pivotal roles in its pathogenesis. This study aimed to investigate whether food-based multisensory stimulation could ameli…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343814,1
2026-02-27,2026-02-27 14:00:00,GlobeNewswire,Green Technology and Sustainability Market Surges to $73.90 billion by 2030 | CAGR 23.7%,"Delray Beach, FL, Feb. 27, 2026 (GLOBE NEWSWIRE) -- According to MarketsandMarkets™, the worldwide Green Technology and Sustainability Market is poised for substantial expansion, expected to reach a compound annual growth rate (CAGR) of 23.7%. The market, val…",https://www.globenewswire.com/news-release/2026/02/27/3246534/0/en/Green-Technology-and-Sustainability-Market-Surges-to-73-90-billion-by-2030-CAGR-23-7.html,2
2026-02-27,2026-02-27 13:59:13,NerdWallet,"Mortgage Rates Today, Friday, February 27: We’re in the Fives","TL;DR: Freddie Mac makes it official, 30-year mortgage rates are under 6%.",https://www.nerdwallet.com/mortgages/news/mortgage-rates-today-friday-february-27-2026#article,1
2026-02-27,2026-02-27 13:58:38,BusinessLine,"CAs’ body flags hurdles in research analyst registration, seeks clarity from SEBI","BCAS highlights regulatory hurdles in research analyst registration, urging SEBI for clarifications and procedural improvements to streamline the process.",https://www.thehindubusinessline.com/markets/cas-body-flags-hurdles-in-research-analyst-registration-seeks-clarity-from-sebi/article70684530.ece,1
2026-02-27,2026-02-27 13:55:00,PR Newswire UK,NYSE Content Update: Grindr Reports 28% Full Year Revenue Growth in Q4 Earnings,"NYSE issues a pre-market daily advisory direct from the trading floor. NEW YORK, Feb. 27, 2026 /PRNewswire/ -- The New York Stock Exchange (NYSE) provides a daily pre-market update directly from the NYSE Trading Floor. Access today's NYSE Pre-market update fo…",https://www.prnewswire.co.uk/news-releases/nyse-content-update-grindr-reports-28-full-year-revenue-growth-in-q4-earnings-302699645.html,4
2026-02-27,2026-02-27 13:54:22,Yahoo Entertainment,Warner Bros. Discovery (WBD) Rallies Nearly 50% on Acquisition Activity,The Harbor Capital Advisors released its “Mid Cap Value Fund’s” Q4 2025 investor letter. A copy of the letter can be downloaded here. Harbor Mid Cap Value...,https://finance.yahoo.com/news/warner-bros-discovery-wbd-rallies-135422902.html,1
2026-02-27,2026-02-27 13:54:14,Hacker News,"Show HN: I tracked 3,519 stock picks from 23 Substacks – who makes money?","I subscribe to 23 paid investment newsletters on Substack (~$9,600/year). I couldn't keep up with reading them all, so I built a system to extract and evaluate every stock pick.*The pipeline:*- Crawls articles from Substack - Extracts high-conviction stock pi…",https://news.ycombinator.com/item?id=47180508,1
2026-02-27,2026-02-27 13:52:00,Yahoo Entertainment,The Cybersecurity Market Is Set to Double to $300 Billion by 2030. Here's the Best Artificial Intelligence (AI) Stock to Buy Now.,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_e6db2e7f-8613-4a7d-991f-f6d2c1613e73,2
2026-02-27,2026-02-27 13:45:00,GlobeNewswire,Enzon Announces Extension of Exchange Offer Relating to Series C Non-Convertible Redeemable Preferred Stock,"CRANFORD, N.J., Feb. 27, 2026 (GLOBE NEWSWIRE) -- Enzon Pharmaceuticals, Inc. (OTCQB: ENZN) (“Enzon ” or the “Company ”) today announced that it has extended the expiration date for the exchange offer by the Company to each holder of its Series C Non-Conver…",https://www.globenewswire.com/news-release/2026/02/27/3246528/0/en/Enzon-Announces-Extension-of-Exchange-Offer-Relating-to-Series-C-Non-Convertible-Redeemable-Preferred-Stock.html,1
2026-02-27,2026-02-27 13:40:00,GlobeNewswire,GraniteShares Announces Weekly Distributions for its YieldBOOST FoFs ETFs: YBST and YBTY,"New York, Feb. 27, 2026 (GLOBE NEWSWIRE) -- GraniteShares today announced the weekly distributions for its GraniteShares YieldBOOST FoFs ETFs: YBST and YBTY as shown in the table below.",https://www.globenewswire.com/news-release/2026/02/27/3246525/0/en/GraniteShares-Announces-Weekly-Distributions-for-its-YieldBOOST-FoFs-ETFs-YBST-and-YBTY.html,1
2026-02-27,2026-02-27 13:30:03,CryptoSlate,"Bitcoin price rally is riding record $1.2 trillion margin debt, and the unwind could be here already","Bitcoin’s rally is riding record $1.279 trillion margin debt, and the unwind could arrive without warning Bitcoin’s next phase is being shaped by a record build in U.S. market leverage, recession-leaning survey data and an expanding Treasury buyback program t…",https://cryptoslate.com/bitcoin-rally-is-riding-record-1-2-trillion-margin-debt-and-the-unwind-could-be-here-already/,3
2026-02-27,2026-02-27 13:30:00,GlobeNewswire,"Trump Media & Technology Group, TAE Technologies, and Texas Ventures Acquisition III Announce Discussions Regarding Spin-Off of Truth Social","SARASOTA, Fla., Feb. 27, 2026 (GLOBE NEWSWIRE) -- Trump Media & Technology Group Corp. (Nasdaq, NYSE Texas: DJT) (“TMTG”), TAE Technologies, Inc. (“TAE”), and Texas Ventures Acquisition III Corp. (Nasdaq: TVA) (“Texas Ventures III”) today announced that they …",https://www.globenewswire.com/news-release/2026/02/27/3246515/0/en/Trump-Media-Technology-Group-TAE-Technologies-and-Texas-Ventures-Acquisition-III-Announce-Discussions-Regarding-Spin-Off-of-Truth-Social.html,1
2026-02-27,2026-02-27 13:30:00,Fortune,Exclusive analysis: we looked at the 400 western firms still in Russia. Their paltry size strips Putin’s bluff bare naked,"Russia's ""paper bear"" economy fools Trump.",https://fortune.com/2026/02/27/exclusive-analysis-russian-economy-paper-bear-trump-putin-zelensky-talks-sonnenfeld-yale/,1
2026-02-27,2026-02-27 13:30:00,GlobeNewswire,SNOW Stockholder Alert: Robbins LLP Reminds Investors of the Class Action Lawsuit Filed Against Snowflake Inc.,Robbins LLP is Investigating Allegations that Snowflake Inc. (SNOW) Misled Investors Regarding its Business Prospects ...,https://www.globenewswire.com/news-release/2026/02/27/3246509/32719/en/SNOW-Stockholder-Alert-Robbins-LLP-Reminds-Investors-of-the-Class-Action-Lawsuit-Filed-Against-Snowflake-Inc.html,1
2026-02-27,2026-02-27 13:30:00,GlobeNewswire,AMC Robotics Corporation Announces Strategic Collaboration with Sunward Logistics USA LLC for NovaArm™ Sorting Robot Deployment,"NEW YORK, Feb. 27, 2026 (GLOBE NEWSWIRE) -- AMC Robotics Corporation (Nasdaq: AMCI) (“AMC Robotics” or the “Company”), an AI-driven robotics solutions provider, today announced a strategic collaboration with Sunward Logistics USA LLC (“Sunward”) in connection…",https://www.globenewswire.com/news-release/2026/02/27/3246512/0/en/AMC-Robotics-Corporation-Announces-Strategic-Collaboration-with-Sunward-Logistics-USA-LLC-for-NovaArm-Sorting-Robot-Deployment.html,1
2026-02-27,2026-02-27 13:28:00,Thefutoncritic.com,Paramount to Acquire Warner Bros. Discovery to Form Next-Generation Global Media and Entertainment Company,"The transaction has been unanimously approved by the Boards of Directors of both companies and is expected to close in Q3 2026, subject to customary closing conditions, including regulatory clearances and approval by WBD shareholders, with a vote expected in …",http://www.thefutoncritic.com/news/2026/02/27/paramount-to-acquire-warner-bros-discovery-to-form-next-generation-global-media-and-entertainment-company-565512/20260227psky01/,1
2026-02-27,2026-02-27 13:21:59,BusinessLine,Gaudium IVF ends 1.87% higher at ₹80.48 after listing higher,"Gaudium IVF shares debut strongly, closing at ₹80.48 after a 5% premium listing, reflecting robust investor interest.",https://www.thehindubusinessline.com/markets/gaudium-ivf-ends-187-higher-at-8048-after-listing-higher/article70684270.ece,1
2026-02-27,2026-02-27 13:00:00,PCMag.com,It's the Year of the Lens at the CP+ Show. Where Are the New Cameras?,"CP+, the largest annual photo trade show in the world is happening this week in Yokahama, Japan. There are plenty of new lenses on display, but this year's slate is light on cameras. The Camera and Photo Imaging Show, more commonly referred to as CP+, just op…",https://me.pcmag.com/en/cameras-1/35597/its-the-year-of-the-lens-at-the-cp-show-where-are-the-new-cameras,1
2026-02-27,2026-02-27 13:00:00,PCWorld,‘Fake frames:’ An uncomfortable truth about DLSS,"You may hate “fake” frames. But if you didn’t know they were AI generated, would you like them in games more than natively rendered ones? Turns out, German publication ComputerBase found the answer is often… yes. At least, more often than raging online d…",https://www.pcworld.com/article/3072853/fake-frames-may-be-better-than-you-think.html,1
2026-02-27,2026-02-27 12:39:52,The Times of India,US Markets | Sunway Healthcare launches prospectus for up to $736 million IPO,Sunway ​Healthcare Holding ​on Friday launched ​the prospectus for its initial public offering that ‌is expected ⁠to ⁠raise up ​to 2.86 billion ringgit ($735.98 million) in ​what could be Malaysia's largest listing in ​almost a ⁠decade.,https://economictimes.indiatimes.com/markets/us-stocks/news/us-markets-sunway-healthcare-launches-prospectus-for-up-to-736-million-ipo/articleshow/128850428.cms,2
2026-02-27,2026-02-27 12:39:00,GlobeNewswire,"KSA Construction Equipment Finance Industry Report 2025: $2.8 Bn Growth Drivers, Trends, Opportunities & Forecast to 2030","The Saudi Arabia Construction Equipment Finance Market presents opportunities in financing advanced, smart technologies for improved efficiency and automation in construction equipment. The growth of renewable energy projects also drives demand for specialize…",https://www.globenewswire.com/news-release/2026/02/27/3246463/28124/en/KSA-Construction-Equipment-Finance-Industry-Report-2025-2-8-Bn-Growth-Drivers-Trends-Opportunities-Forecast-to-2030.html,1
2026-02-27,2026-02-27 12:34:36,The Times of India,"After Friday crash, GIFT Nifty jumps on GDP data. How will stock market react on Monday?","Indian markets fell sharply, with the BSE Sensex dropping 961 points amid global worries and foreign outflows. However, stronger-than-expected GDP growth of 7.8% and upbeat signals from GIFT Nifty improved sentiment, suggesting a positive start and near-term …",https://economictimes.indiatimes.com/markets/stocks/news/after-friday-crash-gift-nifty-jumps-on-gdp-data-how-will-stock-market-react-on-monday/articleshow/128850617.cms,8
2026-02-27,2026-02-27 12:32:00,GlobeNewswire,Bakkt Announces Pricing of $48.125 Million Registered Direct Offering,"NEW YORK, Feb. 27, 2026 (GLOBE NEWSWIRE) -- Bakkt, Inc. (“Bakkt” or the “Company”) (NYSE: BKKT) today announced the pricing of a registered direct offering of 3,024,799 shares of Class A common stock and pre-funded warrants to purchase up to 2,475,201 shares …",https://www.globenewswire.com/news-release/2026/02/27/3246462/0/en/Bakkt-Announces-Pricing-of-48-125-Million-Registered-Direct-Offering.html,2
2026-02-27,2026-02-27 12:29:00,GlobeNewswire,"Saudi Arabia Building Information Modeling Market Report 2025-2030: Adoption Driven by Government Infrastructure Initiatives, Sustainability Mandates and Machine Learning-Enabled Project Optimization",Key market opportunities in the Saudi Arabia BIM market include leveraging the expansion of smart city projects and integrating AI and machine learning to enhance project planning and risk management. The government's digital transformation initiatives and in…,https://www.globenewswire.com/news-release/2026/02/27/3246457/28124/en/Saudi-Arabia-Building-Information-Modeling-Market-Report-2025-2030-Adoption-Driven-by-Government-Infrastructure-Initiatives-Sustainability-Mandates-and-Machine-Learning-Enabled-Pro.html,1
2026-02-27,2026-02-27 12:19:00,GlobeNewswire,"Saudi Arabia Earthmoving Equipment Industry Report 2025-2030: Riyadh, Jeddah and Dammam Lead Demand as Government-Funded Projects and Industrial Growth Drive Excavator and Loader Adoption",Key opportunities in the Saudi Arabia Earthmoving Equipment Market include the expansion of renewable energy projects requiring construction support and a growing demand for rental equipment due to cost-effective project management. This represents a signific…,https://www.globenewswire.com/news-release/2026/02/27/3246454/28124/en/Saudi-Arabia-Earthmoving-Equipment-Industry-Report-2025-2030-Riyadh-Jeddah-and-Dammam-Lead-Demand-as-Government-Funded-Projects-and-Industrial-Growth-Drive-Excavator-and-Loader-Ado.html,1
2026-02-27,2026-02-27 12:07:33,The Times of India,Listed non-banking finance firm Credent Global Finance raises Rs 30 crore via QIP,Credent Global Finance raised Rs 30 crore through a QIP to strengthen its growth capital following a sharp jump in quarterly earnings. The fundraise supports its expansion strategy as revenue and net profit surged sharply year-on-year. The company also expand…,https://economictimes.indiatimes.com/markets/stocks/news/listed-non-banking-finance-firm-credent-global-finance-raises-rs-30-crore-via-qip/articleshow/128849038.cms,3
2026-02-27,2026-02-27 12:00:59,Financial Post,"Enwex Netherlands, France and Spain Wind Futures Now Live for Trading on Abaxx Exchange","Providing standardized tools to hedge wind generation risk across Europe’s leading renewable markets TORONTO, Feb. 27, 2026 (GLOBE NEWSWIRE) — Abaxx Technologies Inc. (CBOE:ABXX)(OTCQX:ABXXF) (“Abaxx” or the “Company”), a financial software and market infrast…",https://financialpost.com/globe-newswire/enwex-netherlands-france-and-spain-wind-futures-now-live-for-trading-on-abaxx-exchange,2
2026-02-27,2026-02-27 11:44:04,The Times of India,"Steel HRC prices hit 2-year high at ₹54,000/tonne; how long will the rally last?","India's steel market has reversed course. Hot-rolled coil prices have risen significantly. This surge is driven by higher raw material costs, a government safeguard duty on imports, and strong infrastructure demand. Experts believe these factors will support …",https://economictimes.indiatimes.com/markets/expert-view/steel-hrc-prices-hit-2-year-high-at-54000-how-long-will-the-rally-last/articleshow/128847391.cms,2
2026-02-27,2026-02-27 11:20:00,Economictimes.com,"Gainers & Losers: Redington, Tejas Networks among 8 stocks in limelight on Friday","Nifty and Sensex tumbled sharply amid broad-based selling in auto, financial and FMCG stocks. Several counters including XTGlobal Infotech and Tejas Networks rallied, even as others declined on regulatory and deal-driven triggers.",https://m.economictimes.com/markets/stocks/news/gainers-amp-losers-redington-tejas-networks-vishal-mega-mart-among-8-stocks-in-limelight-on-friday/slideshow/128846900.cms,4
2026-02-27,2026-02-27 11:16:07,The Times of India,Explained: Why Redington shares soared 17% after Apple’s teaser ‘big week ahead’,"Redington shares surged up to 17% after a teaser from Apple CEO Tim Cook hinted at major product launches next week. With Apple contributing nearly one-third of Redington’s revenue, investor enthusiasm spiked ahead of expected updates to iPhone, iPad and Mac …",https://economictimes.indiatimes.com/markets/stocks/news/explained-why-redington-shares-soared-17-after-apples-teaser-big-week-ahead/articleshow/128846729.cms,1
2026-02-27,2026-02-27 11:12:41,The Times of India,"Astra Microwave to demerge space, meteorology & hydrology biz into a separately listed entity","Astra Microwave Products is planning a demerger. Its space, meteorology, and hydrology business will become a new company called Astra Space Technologies Private Limited. This move aims for sharper management focus and better operational efficiency. Sharehold…",https://economictimes.indiatimes.com/markets/stocks/news/astra-microwave-to-demerge-space-meteorology-hydrology-biz-into-a-separately-listed-entity/articleshow/128846577.cms,3
2026-02-27,2026-02-27 11:07:49,The Times of India,"India rupee logs first monthly gain in ten, traders eye seasonality test",The Indian rupee strengthened in ​February to log its ​first monthly rise since April 2025 as a pick-up ​in foreign portfolio inflows and the announcement of a U.S. trade deal eased pressure on the emerging market laggard.,https://economictimes.indiatimes.com/markets/forex/forex-news/india-rupee-logs-first-monthly-gain-in-ten-traders-eye-seasonality-test/articleshow/128846261.cms,2
2026-02-27,2026-02-27 10:58:45,Fortune,U.S. stocks are being battered by ‘AI derangement syndrome’ and CEOs are learning not to talk about it,Investors have become so skittish of stocks linked to AI that it's dragging down the entire U.S. market.,https://fortune.com/2026/02/27/stocks-battered-by-ai-derangement-syndrome/,2
2026-02-27,2026-02-27 10:52:47,Economictimes.com,​Lupin among 7 stocks that hit 52-week high; rally up to 25% in a month​,"On Friday, the benchmark Sensex tumbled 961 points to settle at 81,287. Even amid the sharp market decline, seven stocks within the BSE 100 index climbed to their 52-week highs, reaching their strongest levels over the past year. Investors typically interpret…",https://m.economictimes.com/markets/stocks/news/lupin-among-7-stocks-that-hit-52-week-high-rally-up-to-25-in-a-month/gains-defy-downturn/slideshow/128845980.cms,6
2026-02-27,2026-02-27 10:52:26,BusinessLine,Rupee falls 8 paise to settle at 90.99 against US dollar,The rupee declined 8 paise to settle at 90.99 (provisional) against the US dollar on Friday weighed down by a sharp rise in global crude oil prices amid geopolitical uncertainties.,https://www.thehindubusinessline.com/markets/forex/rupee-falls-8-paise-to-settle-at-9099-against-us-dollar/article70683777.ece,1
2026-02-27,2026-02-27 10:50:46,BusinessLine,Sri Lanka’s 1st Blue Bond dually listed on NSE IX at GIFT City,"Sri Lanka's first Blue Bond is dually listed on NSE IX at GIFT City, boosting international visibility and investor access.",https://www.thehindubusinessline.com/markets/sri-lankas-1st-blue-bond-dually-listed-on-nse-ix-at-gift-city/article70683729.ece,1
2026-02-27,2026-02-27 10:45:51,Abcnews.com,World shares are mostly higher in a week dominated by AI news,Shares are mostly higher in Europe and Asia after the worst day for Nvidia’s stock since last spring dragged the U.S. market lower,https://abcnews.com/Business/wireStory/world-shares-higher-week-dominated-ai-news-130555336,3
2026-02-27,2026-02-27 10:33:03,The Times of India,Vaccine maker Bharat Biotech said to mull $500 million IPO,"Indian vaccine developer Bharat Biotech International Ltd. is considering an initial public offering that may raise more than $500 million, according to people familiar with the matter.",https://economictimes.indiatimes.com/markets/ipos/fpos/vaccine-maker-bharat-biotech-said-to-mull-500-million-ipo/articleshow/128845015.cms,1
2026-02-27,2026-02-27 10:20:21,Financial Post,Clean Energy Developer ThomasLloyd to Go Public Via SPAC Deal,ThomasLloyd Climate Solutions has agreed to merge with a blank-check company in a deal that will allow the European-based clean energy developer to enter the booming US market for powering data centers.,https://financialpost.com/pmn/business-pmn/clean-energy-developer-thomaslloyd-to-go-public-via-spac-deal,1
2026-02-27,2026-02-27 10:16:52,Moneycontrol,Nifty Tests Crucial Support Zone; Index Down Nearly A Percent For The Week | Closing Bell Live,"Catch Nandita Khemka in conversation with Anand K Rathi, Co-Founder, MIRA Money and Jay Thakkar, Head Derivatives and Quant Research, ICICI Securities",https://www.moneycontrol.com/news/videos/business/markets/nifty-tests-crucial-support-zone-index-down-nearly-a-percent-for-the-week-closing-bell-live-13845726.html,1
2026-02-27,2026-02-27 10:15:22,Free Press Journal,"SJVN Limited Announces Retirement Of Two Senior Executives Effective February 27, 2026","SJVN Limited has announced the superannuation of two senior management officials, Shri Rajeev Kumar and Shri Chandra Shekhar Yadav, with effect from the close of business hours on February 27, 2026. The disclosure was made in a regulatory filing to stock exch…",https://www.freepressjournal.in/business/sjvn-limited-announces-retirement-of-two-senior-executives-effective-february-27-2026,1
2026-02-27,2026-02-27 10:00:10,Fox News,"Corporate America is on the move, and these red states are cashing in",Red states are winning the corporate headquarters battle as Texas dominates relocations while California bleeds business losses in unprecedented shift.,https://www.foxnews.com/politics/red-states-keep-winning-over-corporations-fleeing-blue-strongholds-what-know,2
2026-02-27,2026-02-27 10:00:00,GlobeNewswire,FAU Economists: Delayed Data and Policy Shocks Leave Fed Cautious on Rates,"BOCA RATON, Fla., Feb. 27, 2026 (GLOBE NEWSWIRE) -- Even as updated inflation data shows persistent price pressures, the Federal Reserve faces continued uncertainty over interest rates, according to researchers at Florida Atlantic University.",https://www.globenewswire.com/news-release/2026/02/27/3246354/0/en/FAU-Economists-Delayed-Data-and-Policy-Shocks-Leave-Fed-Cautious-on-Rates.html,2
2026-02-27,2026-02-27 09:10:00,The Star Online,Northbound Pedas Linggi lay-by to close for 18 months starting March 1,SEREMBAN: The Pedas Linggi Lay-by (northbound) at KM225.5 of the North-South Expressway (NSE) will be closed for 18 months from March 1 for upgrading works. Read full story,https://www.thestar.com.my/news/nation/2026/02/27/northbound-pedas-linggi-lay-by-to-close-for-18-months-starting-march-1,1
2026-02-27,2026-02-27 09:02:41,The Times of India,Short-term traders should stay cautious; more weakness likely ahead: CA Rudramurthy BV,"Indian stock markets faced a turbulent week. The Nifty index dropped below 25,300, a key support level. Bank Nifty also weakened, adding to market concerns. Experts suggest this indicates a potential for further declines in the short term. Investors are advis…",https://economictimes.indiatimes.com/markets/expert-view/short-term-traders-should-stay-cautious-more-weakness-likely-ahead-ca-rudramurthy-bv/articleshow/128842464.cms,3
2026-02-27,2026-02-27 09:00:08,pymnts.com,"Mastercard: Small Business Growth Hinges on Using Tech Better, Not Chasing Trends","Watch more: What’s Next In Payments With Mastercard’s Mark Barnett Strategic narratives in payments can come with some loaded words. Artificial intelligence, institutional blockchain and real-time rails are routinely positioned as the decisive forces shaping …",https://www.pymnts.com/smbs/2026/mastercard-small-business-growth-hinges-on-using-tech-better-not-chasing-trends/,1
2026-02-27,2026-02-27 08:48:34,Financial Post,European Stocks Eye Longest Monthly Winning Streak Since 2013,"European shares kicked off February’s final trading session on course for the longest monthly winning streak since 2013, with the region increasingly popular among investors seeking an alternative to the US.",https://financialpost.com/pmn/business-pmn/european-stocks-eye-longest-monthly-winning-streak-since-2013,3
2026-02-27,2026-02-27 08:46:06,BusinessLine,Glenmark to launch generic sodium phosphates injection in US,"Glenmark will begin distribution of the injection in the US market in April 2026, it said in a regulatory filing",https://www.thehindubusinessline.com/companies/glenmark-to-launch-generic-sodium-phosphates-injection-in-us/article70683305.ece,1
2026-02-27,2026-02-27 08:42:05,Economictimes.com,These 12 largecap stocks rally 50-80% in less than a year. Do you own any?,"While many investors chased the thrill of smallcap stocks—drawn by the classic “high risk, high reward” dream—the steady giants quietly stole the spotlight. In FY26 so far, the BSE Largecap index climbed nearly 10%, comfortably outperforming the BSE Smallcap …",https://m.economictimes.com/markets/stocks/news/these-12-largecap-stocks-rally-50-80-in-less-than-a-year-do-you-own-any/giant-rally/slideshow/128842362.cms,3
2026-02-27,2026-02-27 08:20:05,BusinessLine,GIFT City’s first-ever IPO to open on March 6,"In a historic first for India’s International Financial Services Centre (IFSC) at GIFT City, Mumbai-based XED Executive Development Ltd will launch the jurisdiction’s maiden equity IPO on March 6.",https://www.thehindubusinessline.com/markets/gift-citys-first-ever-ipo-to-open-on-march-6/article70683199.ece,2
2026-02-27,2026-02-27 08:01:39,Thechronicle.com.gh,CMC seeks to ‘ELEVATE’ Ghana’s cocoa sector amid global shocks,"The Cocoa Marketing Company Ghana Limited, led by its managing director Dr. Wisdom Kofi Dogbey, is embarking on an audacious mission of elevating Ghana’s Cocoa sector through increased local bean processing. CMC is the commercial arm of Ghana’s cocoa sector, …",https://thechronicle.com.gh/cmc-seeks-to-elevate-ghanas-cocoa-sector-amid-global-shocks/,1
2026-02-27,2026-02-27 07:45:32,BusinessLine,TRUST MF launches mid-cap NFO,The fund seeks to generate long-term capital appreciation by investing in equity and equity-related instruments of businesses ranked 101st to 250th in terms of full market capitalisation,https://www.thehindubusinessline.com/markets/trust-mf-launches-mid-cap-nfo/article70683084.ece,3
2026-02-27,2026-02-27 07:43:00,The Times of India,"Rs 3 lakh crore wiped out! Sensex tumbles 600 points, Nifty below 25,300. Key factors behind market decline","Indian stock markets experienced a sharp decline for the second consecutive session, with significant drops in FMCG, auto, realty, and pharma sectors. This selloff erased over Rs 3.4 lakh crore in investor wealth, influenced by heavy FII selling and weak glob…",https://economictimes.indiatimes.com/markets/stocks/news/why-is-stock-market-falling-today-rs-3-lakh-crore-wiped-out-sensex-tumbles-600-points-nifty-below-25300-key-factors-behind-market-decline/articleshow/128840525.cms,6
2026-02-27,2026-02-27 06:35:09,The Times of India,"L&T Finance, Utkarsh SFB, Fusion Finance tank up to 11% as Bihar passes MFI Bill 2026. Here’s what’s causing pain","Shares of microfinance-linked lenders fell sharply after Bihar passed a bill tightening regulations on MFIs. While the move may have limited immediate financial impact, analysts warn of slower credit growth, rising compliance costs, and potential asset qualit…",https://economictimes.indiatimes.com/markets/stocks/news/lt-finance-utkarsh-sfb-fusion-finance-tank-up-to-11-as-bihar-passes-mfi-bill-2026-heres-whats-causing-pain/articleshow/128839193.cms,1
2026-02-27,2026-02-27 06:13:08,Mynation.com,India’s Real Estate Enters a Structural Growth Phase: Ashish Joshi on Institutional Depth and Governance-Led Investing,"India remains the fastest-growing major economy, with GDP projected to expand at 6–7% annually over the medium term (IMF estimates).",https://www.mynation.com/business/indias-real-estate-enters-a-structural-growth-phase-ashish-joshi-on-institutional-depth-and-governance-led-investing-articleshow-2mikpl9,1
2026-02-27,2026-02-27 06:10:28,Yahoo Entertainment,National Bank Raises Bank of Montreal (BMO) Price Target While Maintaining Sector Perform,"Bank of Montreal (NYSE:BMO) is included among the 14 Best GARP Stocks to Buy According to Analysts. On February 26, National Bank analyst Gabriel Dechaine...",https://finance.yahoo.com/news/national-bank-raises-bank-montreal-061028638.html,1
2026-02-27,2026-02-27 06:00:00,Naturalnews.com,"Jack Dorsey’s AI Purge: 4,000 Jobs Axed as Investors Applaud","For Many Public Companies, the AI Tipping Point Has Arrived A single corporate announcement has become the defining shot across the bow of the global workforce. On a Thursday in late February 2026, Jack Dorsey, the co-founder of Twitter and Block Inc., told t…",https://www.naturalnews.com/2026-02-27-jack-dorseys-ai-purge-4000-jobs-axed.html,1
2026-02-27,2026-02-27 06:00:00,GlobeNewswire,Lassila & Tikanoja Plc Financial Statements Release January - December 2025,"Lassila & Tikanoja PlcStock exchange release 27 February 2026 at 8.00 AM EET OPERATIONS AS AN INDEPENDENT LISTED COMPANY BEGAN, SOLID PERFORMANCE...",https://www.globenewswire.com/news-release/2026/02/27/3246268/0/en/Lassila-Tikanoja-Plc-Financial-Statements-Release-January-December-2025.html,1
2026-02-27,2026-02-27 05:56:00,GlobeNewswire,Kamirai Defies the Bear Market: Presale Surges to Stage 3 Following Monumental 150 Billion Token Allocation,"TOKYO, Feb. 27, 2026 (GLOBE NEWSWIRE) -- Amidst a broader macroeconomic downturn and pervasive bearish sentiment across digital asset markets, Web3 innovator Kamirai is emerging as a distinct outlier. Charting a trajectory akin to a nova star against a dark m…",https://www.globenewswire.com/news-release/2026/02/27/3246265/0/en/Kamirai-Defies-the-Bear-Market-Presale-Surges-to-Stage-3-Following-Monumental-150-Billion-Token-Allocation.html,2
2026-02-27,2026-02-27 05:54:37,BusinessLine,Gaudium IVF shares jump 5% in stock market debut,"Gaudium IVF shares rise 5% in market debut, valuing the company at ₹585.93 crore amid strong IPO subscription.",https://www.thehindubusinessline.com/markets/stock-markets/gaudium-ivf-shares-jump-5-in-stock-market-debut/article70682815.ece,4
2026-02-27,2026-02-27 05:51:07,The Times of India,JGB yields fall on demand for portfolio adjustment,"Japan's government bond yields declined on Friday. Investors bought bonds to align portfolios with market indexes. This demand increased as large volumes of Japanese government bonds mature soon. Tokyo price data showed inflation slowed, falling below the Ban…",https://economictimes.indiatimes.com/markets/bonds/jgb-yields-fall-on-demand-for-portfolio-adjustment/articleshow/128838427.cms,2
2026-02-27,2026-02-27 05:50:46,The Times of India,IT doomsday rub-off effect! Realty stocks fall up to 20% this year. Should you buy the fear?,Indian real estate stocks have fallen up to 20% so far this year as investors worry that AI-led disruption in the IT sector could slow hiring and weaken housing demand in tech hubs such as Bengaluru. Experts say the AI narrative has become a key near-term ove…,https://economictimes.indiatimes.com/markets/stocks/news/it-doomsday-rub-off-effect-realty-stocks-fall-up-to-20-this-year-should-you-buy-the-fear/articleshow/128838421.cms,1
